,Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Location,City,Latitude,Longitude,Rent_per_bed,Rent_per_bath
17,"Residence 1, Meydan Avenue, Meydan City, Dubai",25068.119891008177,1,2,Apartment,1031,24.31437428882834,Medium,Yearly,Unfurnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25068.119891008177,12534.059945504088
18,"Merano Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,668,37.52712558534158,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
19,"Ayesha Building, Al Hudaiba, Dubai",25068.119891008177,2,2,Apartment,1600,15.66757493188011,Medium,Yearly,Unfurnished,For Rent,Al Hudaiba,Dubai,25.2428328,55.279212,12534.059945504088,12534.059945504088
20,"Marquise Square, Business Bay, Dubai",25068.119891008177,0,2,Apartment,614,40.827556825746214,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
21,"Majestic Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,825,30.385599867888697,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
22,"Meydan Avenue, Meydan City, Dubai",25068.119891008177,1,2,Apartment,1070,23.428149430848762,Medium,Yearly,Unfurnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25068.119891008177,12534.059945504088
23,"Residence 1, Meydan Avenue, Meydan City, Dubai",25068.119891008177,1,2,Apartment,1070,23.428149430848762,Medium,Yearly,Unfurnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25068.119891008177,12534.059945504088
24,"Residence 1, Meydan Avenue, Meydan City, Dubai",25068.119891008177,1,2,Apartment,1069,23.45006537980185,Medium,Yearly,Unfurnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25068.119891008177,12534.059945504088
25,"Merano Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,644,38.92565200467108,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
26,"Al Jaddaf, Dubai",25068.119891008177,1,2,Apartment,950,26.387494622113863,Medium,Yearly,Unfurnished,For Rent,Al Jaddaf,Dubai,25.2075039,55.3224277,25068.119891008177,12534.059945504088
27,"Escan Marina Tower, Dubai Marina, Dubai",25068.119891008177,1,2,Apartment,755,33.202807802659834,Medium,Yearly,Furnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25068.119891008177,12534.059945504088
28,"Al Warqaa 1, Al Warqaa, Dubai",25068.119891008177,3,2,Apartment,1604,15.628503672698363,Medium,Yearly,Unfurnished,For Rent,Al Warqaa,Dubai,25.18047865,55.45297285088414,8356.039963669393,12534.059945504088
29,"Afnan 1, Afnan District, Midtown, Dubai Production City (IMPZ), Dubai",25068.119891008177,2,2,Apartment,969,25.8700927667783,Medium,Yearly,Unfurnished,For Rent,Dubai Production City (Impz),Dubai,25.0249925,55.1896223,12534.059945504088,12534.059945504088
30,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,2,2,Apartment,1158,21.64777192660464,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12534.059945504088,12534.059945504088
31,"Hartland Waves, Sobha Hartland, Dubai",25068.119891008177,1,2,Apartment,518,48.394053843645125,Medium,Yearly,Furnished,For Rent,Sobha Hartland,Dubai,25.177246,55.30791298414965,25068.119891008177,12534.059945504088
32,"Millennium Binghatti Residences, Business Bay, Dubai",25068.119891008177,1,2,Apartment,823,30.45944093682646,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
33,"Signature Livings, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,1,2,Apartment,880,28.486499876145658,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25068.119891008177,12534.059945504088
34,"Belgravia 1, JVC District 14, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,1,2,Apartment,953,26.3044280073538,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25068.119891008177,12534.059945504088
35,"Zada Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,470,53.336425300017396,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
36,"Aquilegia, DAMAC Hills 2 (Akoya by DAMAC), Dubai",25068.119891008177,3,2,Townhouse,2099,11.942887037164448,Medium,Yearly,Unfurnished,For Rent,Damac Hills 2 (Akoya By Damac),Dubai,24.987364,55.373964,8356.039963669393,12534.059945504088
37,"Waves Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,829,30.238986599527358,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
38,"Bayz by Danube, Business Bay, Dubai",25068.119891008177,1,2,Apartment,872,28.747843911706624,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
39,"15 Northside Tower 1, 15 Northside, Business Bay, Dubai",25068.119891008177,0,2,Apartment,380,65.96873655528469,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
40,"Zada Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,475,52.77498924422772,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
41,"Saba Tower 3, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai",25068.119891008177,1,2,Apartment,777,32.262702562430086,Medium,Yearly,Furnished,For Rent,Jumeirah Lake Towers (Jlt),Dubai,25.0690625,55.141165591907736,25068.119891008177,12534.059945504088
42,"Mag 218 Tower, Dubai Marina, Dubai",25068.119891008177,1,2,Apartment,886,28.293589041769952,Medium,Yearly,Unfurnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25068.119891008177,12534.059945504088
43,"Giovanni Boutique Suites, Dubai Sports City, Dubai",25068.119891008177,2,2,Apartment,881,28.454165597058093,Medium,Yearly,Furnished,For Rent,Dubai Sports City,Dubai,25.0321379,55.219353,12534.059945504088,12534.059945504088
44,"Expo Golf Villas 3 (Parkside 3), Expo Golf Villas, Emaar South, Dubai South, Dubai",25068.119891008177,3,2,Villa,1518,16.51391297167864,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8356.039963669393,12534.059945504088
45,"Olympic Park 3, Olympic Park, Dubai Sports City, Dubai",25068.119891008177,2,2,Apartment,1471,17.04154989191582,Medium,Yearly,Unfurnished,For Rent,Dubai Sports City,Dubai,25.0321379,55.219353,12534.059945504088,12534.059945504088
46,"Al Khair 5, Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,954,26.276855231664754,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
47,"Al Khair 5, Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,938,26.725074509536785,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
48,"Jenna Main Square 1, Jenna Main Square, Town Square, Dubai",25068.119891008177,2,2,Apartment,1193,21.01267383923706,Medium,Yearly,Unfurnished,For Rent,Town Square,Dubai,25.01085145,55.28887629766314,12534.059945504088,12534.059945504088
49,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,938,26.725074509536785,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
50,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,953,26.3044280073538,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
51,"Al Satwa, Dubai",25068.119891008177,2,2,Apartment,1269,19.754231592599034,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12534.059945504088,12534.059945504088
52,"Rose 10, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,2,2,Apartment,1099,22.80993620655885,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12534.059945504088,12534.059945504088
53,"Al Manal Residence 2, Al Manal Residence, Dubai Silicon Oasis (DSO), Dubai",25068.119891008177,2,2,Apartment,1250,20.054495912806537,Medium,Yearly,Unfurnished,For Rent,Dubai Silicon Oasis (Dso),Dubai,25.118441,55.387147,12534.059945504088,12534.059945504088
54,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,958,26.16713976096887,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
55,"Zada Tower, Business Bay, Dubai",25068.119891008177,1,2,Apartment,468,53.564358741470464,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25068.119891008177,12534.059945504088
56,"Jumeirah Garden City, Al Satwa, Dubai",25068.119891008177,1,2,Apartment,937,26.753596468525263,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25068.119891008177,12534.059945504088
57,"Building 2A, Residences 2, Expo Village, Expo City, Dubai",25068.119891008177,2,2,Apartment,1150,21.798365122615806,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12534.059945504088,12534.059945504088
58,"Residences 2, Expo Village, Expo City, Dubai",25068.119891008177,2,2,Apartment,1300,19.283169146929367,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12534.059945504088,12534.059945504088
59,"Boutique 7 Hotel Apartments, Barsha Heights (Tecom), Dubai",25068.119891008177,1,2,Apartment,880,28.486499876145658,Medium,Yearly,Furnished,For Rent,Barsha Heights (Tecom),Dubai,25.0982842,55.1757823,25068.119891008177,12534.059945504088
60,"Jadaf Building, Al Jaddaf, Dubai",25068.119891008177,1,2,Apartment,1205,20.80341899668728,Medium,Yearly,Unfurnished,For Rent,Al Jaddaf,Dubai,25.2142937,55.324569,25068.119891008177,12534.059945504088
61,"Starz by Danube, Al Furjan, Dubai",25068.119891008177,2,2,Apartment,1200,20.89009990917348,Medium,Yearly,Furnished,For Rent,Al Furjan,Dubai,25.0267099,55.1469903,12534.059945504088,12534.059945504088
62,"JVC District 13, Jumeirah Village Circle (JVC), Dubai",25068.119891008177,2,2,Apartment,1498,16.734392450606254,Medium,Yearly,Furnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12534.059945504088,12534.059945504088
63,"Expo Golf Villas 1 (Parkside 1), Expo Golf Villas, Emaar South, Dubai South, Dubai",25068.119891008177,3,4,Townhouse,1398,17.9314162310502,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8356.039963669393,6267.029972752044
64,"Barsha Heights (Tecom), Dubai",25068.119891008177,2,2,Apartment,1238,20.248885210830515,Medium,Yearly,Unfurnished,For Rent,Barsha Heights (Tecom),Dubai,25.0982842,55.1757823,12534.059945504088,12534.059945504088
65,"Masaken Al Mankhool 01, Al Mankhool, Bur Dubai, Dubai",25204.359673024523,1,2,Apartment,1167,21.597566128065395,Medium,Yearly,Unfurnished,For Rent,Bur Dubai,Dubai,25.23559045,55.29672026315799,25204.359673024523,12602.179836512261
66,"Manazil Al Muraqqabat 02, Al Muraqqabat, Deira, Dubai",25204.359673024523,2,2,Apartment,1401,17.990263863686312,Medium,Yearly,Unfurnished,For Rent,Deira,Dubai,25.2727936,55.305334,12602.179836512261,12602.179836512261
67,"Al Mankhool, Bur Dubai, Dubai",25204.359673024523,1,2,Apartment,950,26.53090491897318,Medium,Yearly,Unfurnished,For Rent,Bur Dubai,Dubai,25.23559045,55.29672026315799,25204.359673024523,12602.179836512261
68,"Al Mankhool, Bur Dubai, Dubai",25204.359673024523,1,2,Apartment,1167,21.597566128065395,Medium,Yearly,Unfurnished,For Rent,Bur Dubai,Dubai,25.23559045,55.29672026315799,25204.359673024523,12602.179836512261
69,"Marina Diamond 4, Marina Diamonds, Dubai Marina, Dubai",25204.359673024523,1,2,Apartment,674,37.39519239321146,Medium,Yearly,Furnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25204.359673024523,12602.179836512261
70,"Merano Tower, Business Bay, Dubai",25204.359673024523,1,2,Apartment,644,39.137204461218204,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25204.359673024523,12602.179836512261
71,"Marquise Square, Business Bay, Dubai",25204.359673024523,0,2,Apartment,516,48.845658281055286,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25204.359673024523,12602.179836512261
72,"Samana Greens, Arjan, Dubai",25204.359673024523,2,2,Apartment,1200,21.00363306085377,Medium,Yearly,Unfurnished,For Rent,Arjan,Dubai,25.0627549,55.2392983,12602.179836512261,12602.179836512261
73,"Gulf Oasis Hotel Apartments, Barsha Heights (Tecom), Dubai",25337.874659400546,1,2,Apartment,850,29.809264305177113,Medium,Yearly,Furnished,For Rent,Barsha Heights (Tecom),Dubai,25.0982842,55.1757823,25337.874659400546,12668.937329700273
74,"Gulf Oasis Hotel Apartments, Barsha Heights (Tecom), Dubai",25340.32697547684,1,2,Apartment,850,29.81214938291393,Medium,Yearly,Furnished,For Rent,Barsha Heights (Tecom),Dubai,25.0982842,55.1757823,25340.32697547684,12670.16348773842
75,"Al Yousuf Towers, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.32697547684,2,2,Apartment,1354,18.71516024776724,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12670.16348773842,12670.16348773842
76,"Marina View Tower A, Marina View Tower, Dubai Marina, Dubai",25340.32697547684,0,2,Apartment,411,61.655296777315904,Medium,Yearly,Furnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25340.32697547684,12670.16348773842
77,"Majestic Tower, Business Bay, Dubai",25340.32697547684,1,2,Apartment,915,27.694346421286163,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25340.32697547684,12670.16348773842
78,"Central Towers Block A, Central Towers, Arjan, Dubai",25340.599455040872,2,2,Apartment,1265,20.03209443086235,Medium,Yearly,Unfurnished,For Rent,Arjan,Dubai,25.0627549,55.2392983,12670.299727520436,12670.299727520436
79,"Expo Golf Villas 3 (Parkside 3), Expo Golf Villas, Emaar South, Dubai South, Dubai",25340.599455040872,3,2,Townhouse,1518,16.693412025718626,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8446.866485013625,12670.299727520436
80,"Prime Views, Meydan Avenue, Meydan City, Dubai",25340.599455040872,1,2,Apartment,770,32.909869422131,Medium,Yearly,Furnished,For Rent,Meydan City,Dubai,25.1541673,55.2906695,25340.599455040872,12670.299727520436
81,"Residences 4, Expo Village, Expo City, Dubai",25340.599455040872,2,2,Apartment,1050,24.13390424289607,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12670.299727520436,12670.299727520436
82,"Bluebell  Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,1,2,Apartment,654,38.7470939679524,Medium,Yearly,Furnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25340.599455040872,12670.299727520436
83,"Art XVIII Tower, Business Bay, Dubai",25340.599455040872,1,2,Apartment,801,31.63620406372144,Medium,Yearly,Unfurnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25340.599455040872,12670.299727520436
84,"Belgravia Heights 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,1,2,Apartment,803,31.557409034920145,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25340.599455040872,12670.299727520436
85,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,2,2,Apartment,1050,24.13390424289607,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12670.299727520436,12670.299727520436
86,"Samana Hills, Arjan, Dubai",25340.599455040872,1,2,Apartment,1162,21.807744797797653,Medium,Yearly,Furnished,For Rent,Arjan,Dubai,25.0627549,55.2392983,25340.599455040872,12670.299727520436
87,"Creek Edge Tower 2, Creek Edge, Dubai Creek Harbour, Dubai",25340.599455040872,1,2,Apartment,760,33.34289401979062,Medium,Yearly,Unfurnished,For Rent,Dubai Creek Harbour,Dubai,25.197978,55.36037960558315,25340.599455040872,12670.299727520436
88,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,2,2,Apartment,1400,18.100428182172053,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12670.299727520436,12670.299727520436
89,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,2,2,Apartment,850,29.812469947106912,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12670.299727520436,12670.299727520436
90,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,2,2,Apartment,1357,18.673986333854735,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12670.299727520436,12670.299727520436
91,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,2,2,Apartment,1300,19.4927688115699,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12670.299727520436,12670.299727520436
92,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,2,2,Apartment,1401,18.08750853321975,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12670.299727520436,12670.299727520436
93,"Harbour Views 2, Harbour Views, Dubai Creek Harbour, Dubai",25340.599455040872,1,2,Apartment,708,35.79180713988824,Medium,Yearly,Unfurnished,For Rent,Dubai Creek Harbour,Dubai,25.197978,55.36037960558315,25340.599455040872,12670.299727520436
94,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,2,2,Apartment,1154,21.958925004368172,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12670.299727520436,12670.299727520436
95,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,2,2,Apartment,1400,18.100428182172053,Medium,Yearly,Unfurnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,12670.299727520436,12670.299727520436
96,"The Torch, Dubai Marina, Dubai",25340.599455040872,1,2,Apartment,978,25.910633389645778,Medium,Yearly,Unfurnished,For Rent,Dubai Marina,Dubai,25.0786415,55.1352524,25340.599455040872,12670.299727520436
97,"Chaimaa Avenue Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",25340.599455040872,1,2,Apartment,690,36.72550645658098,Medium,Yearly,Furnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,25340.599455040872,12670.299727520436
98,"Saba Tower 2, JLT Cluster Q, Jumeirah Lake Towers (JLT), Dubai",25340.599455040872,1,2,Apartment,917,27.634241499499314,Medium,Yearly,Furnished,For Rent,Jumeirah Lake Towers (Jlt),Dubai,25.0690625,55.141165591907736,25340.599455040872,12670.299727520436
99,"Hartland Waves, Sobha Hartland, Dubai",25340.599455040872,1,2,Apartment,505,50.179404861467056,Medium,Yearly,Furnished,For Rent,Sobha Hartland,Dubai,25.177246,55.30791298414965,25340.599455040872,12670.299727520436
100,"Summer 2, Summer at Creek Beach, Dubai Creek Harbour, Dubai",25340.599455040872,1,2,Apartment,664,38.16355339614589,Medium,Yearly,Unfurnished,For Rent,Dubai Creek Harbour,Dubai,25.197978,55.36037960558315,25340.599455040872,12670.299727520436
101,"O2 Residence, JLT Cluster O, Jumeirah Lake Towers (JLT), Dubai",25340.599455040872,1,2,Apartment,942,26.900848678387337,Medium,Yearly,Unfurnished,For Rent,Jumeirah Lake Towers (Jlt),Dubai,25.0690625,55.141165591907736,25340.599455040872,12670.299727520436
102,"Residences 4, Expo Village, Expo City, Dubai",25340.599455040872,2,2,Apartment,1250,20.2724795640327,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12670.299727520436,12670.299727520436
103,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,1,2,Apartment,937,27.04439643051771,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25340.599455040872,12670.299727520436
104,"Building 2A, Residences 2, Expo Village, Expo City, Dubai",25340.599455040872,2,2,Apartment,1190,21.294621390790653,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12670.299727520436,12670.299727520436
105,"Building 2A, Residences 2, Expo Village, Expo City, Dubai",25340.599455040872,2,2,Apartment,1180,21.475084283378745,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12670.299727520436,12670.299727520436
106,"Building 2A, Residences 2, Expo Village, Expo City, Dubai",25340.599455040872,2,2,Apartment,1150,22.0353038746594,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12670.299727520436,12670.299727520436
107,"Jumeirah Garden City, Al Satwa, Dubai",25340.599455040872,1,2,Apartment,958,26.451565193153307,Medium,Yearly,Furnished,For Rent,Al Satwa,Dubai,25.2208602,55.2737617,25340.599455040872,12670.299727520436
108,"Park Central, Business Bay, Dubai",25476.566757493187,1,2,Apartment,672,37.91155767484105,Medium,Yearly,Furnished,For Rent,Business Bay,Dubai,25.18942655,55.26481901527489,25476.566757493187,12738.283378746593
109,"Urbana I, Urbana, Emaar South, Dubai South, Dubai",25476.839237057222,2,2,Townhouse,1301,19.582505178368347,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,12738.419618528611,12738.419618528611
110,"Burj Daman, DIFC, Dubai",25504.08719346049,2,2,Apartment,1762,14.474510325459983,Medium,Yearly,Furnished,For Rent,Difc,Dubai,25.21282585,55.277634848521615,12752.043596730246,12752.043596730246
111,"Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai",25612.806539509536,3,2,Townhouse,1505,17.01847610626703,Medium,Yearly,Unfurnished,For Rent,Dubai South,Dubai,24.9144391,55.1615128,8537.602179836513,12806.403269754768
112,"Binghatti Views, Dubai Silicon Oasis (DSO), Dubai",25612.806539509536,2,2,Apartment,1350,18.972449288828336,Medium,Yearly,Unfurnished,For Rent,Dubai Silicon Oasis (Dso),Dubai,25.118441,55.387147,12806.403269754768,12806.403269754768
113,"The Manhattan, JVC District 10, Jumeirah Village Circle (JVC), Dubai",25613.07901907357,2,3,Apartment,1241,20.639064479564034,Medium,Yearly,Unfurnished,For Rent,Jumeirah Village Circle (Jvc),Dubai,25.0559446,55.20746502861806,12806.539509536786,8537.693006357857
114,"Residences 4, Expo Village, Expo City, Dubai",25613.07901907357,2,2,Apartment,1250,20.490463215258856,Medium,Yearly,Furnished,For Rent,Expo City,Dubai,24.9592316,55.15510126455556,12806.539509536786,12806.539509536786
