date,Year,Month,Average_Monthly_Rent_AED,Average_Annual_Rent_AED
9/1/20,2020,September,4100,49200
10/1/20,2020,October,4000,48000
11/1/20,2020,November,3900,46800
12/1/20,2020,December,3800,45600
1/1/21,2021,January,3850,46200
2/1/21,2021,February,3900,46800
3/1/21,2021,March,4000,48000
4/1/21,2021,April,4100,49200
5/1/21,2021,May,4200,50400
6/1/21,2021,June,4300,51600
7/1/21,2021,July,4400,52800
8/1/21,2021,August,4500,54000
9/1/21,2021,September,4600,55200
10/1/21,2021,October,4700,56400
11/1/21,2021,November,4800,57600
12/1/21,2021,December,4900,58800
1/1/22,2022,January,5100,61200
2/1/22,2022,February,5300,63600
3/1/22,2022,March,5500,66000
4/1/22,2022,April,5700,68400
5/1/22,2022,May,5900,70800
6/1/22,2022,June,6100,73200
7/1/22,2022,July,6300,75600
8/1/22,2022,August,6500,78000
9/1/22,2022,September,6700,80400
10/1/22,2022,October,6900,82800
11/1/22,2022,November,7100,85200
12/1/22,2022,December,7300,87600
1/1/23,2023,January,7500,90000
2/1/23,2023,February,7700,92400
3/1/23,2023,March,7900,94800
4/1/23,2023,April,8100,97200
5/1/23,2023,May,8300,99600
6/1/23,2023,June,8500,102000
7/1/23,2023,July,8700,104400
8/1/23,2023,August,8900,106800
9/1/23,2023,September,9100,109200
10/1/23,2023,October,9300,111600
11/1/23,2023,November,9500,114000
12/1/23,2023,December,9700,116400
1/1/24,2024,January,9900,118800
2/1/24,2024,February,10100,121200
3/1/24,2024,March,10300,123600
4/1/24,2024,April,10500,126000
5/1/24,2024,May,10700,128400
6/1/24,2024,June,10900,130800
7/1/24,2024,July,11100,133200
8/1/24,2024,August,11300,135600
9/1/24,2024,September,11500,138000
10/1/24,2024,October,11700,140400
11/1/24,2024,November,11900,142800
12/1/24,2024,December,12100,145200
1/1/25,2025,January,12300,147600
2/1/25,2025,February,12500,150000
3/1/25,2025,March,12700,152400
4/1/25,2025,April,12900,154800
5/1/25,2025,May,13100,157200
